id	internal_title	primary_axis	concept
q053	Bridge Loom	tool-construction	Threads woven across anchor points form traversable surfaces, with crossing and tension determining whether the bridge holds.
q054	Gear Teeth	tool-construction	The player attaches a limited number of teeth to blank wheels to create transmission ratios that synchronize distant mechanisms.
q055	Funnel Forge	tool-construction	Walls assembled from short segments create a funnel whose shape sorts moving particles by size and momentum.
q056	Magnet Chain	tool-construction	Polar segments snap into a constructed chain whose alternating orientation creates a controllable attraction field.
q057	Raft Shape	tool-construction	Buoyant tiles are assembled into a footprint; stability, cargo placement, and narrow channels make the constructed geometry consequential.
q058	Antenna	tool-construction	Conductive pieces form an antenna whose span and orientation select which pulsing source can power a remote gate.
q059	Sieve	tool-construction	A mesh built from bars must pass small bodies while retaining large ones, then survive a later reversal of flow.
q060	Clockwork Tool	tool-construction	A small program of cams and delays is physically assembled to emit a required temporal action sequence after the player leaves.
q061	Split Couriers	distributed-partial-observability	Two controlled couriers occupy separate rooms and each sees clues needed by the other; actions also serve as the only communication channel.
q062	Relay Shadows	distributed-partial-observability	One body sees objects while the other sees only their shadows, and solving requires aligning the two partial representations.
q063	Two Rooms One Switch	distributed-partial-observability	A switch in one room changes geometry visible only in another, so the player must maintain a shared causal state across alternating views.
q064	Scout Gestures	distributed-partial-observability	Autonomous scouts return from hidden branches and communicate findings through short motion patterns that must be grounded.
q065	Asymmetric Twins	distributed-partial-observability	One twin can see color and the other can see shape; control alternates and only joint evidence identifies valid objects.
q066	Beacon Relay	distributed-partial-observability	Each agent sees only the nearest beacon, so a chain of agents must be positioned to transmit a global direction through local observations.
q067	Map Fragments	distributed-partial-observability	Several bodies hold overlapping but rotated map fragments, and movement decisions require registering them into one coordinate frame.
q068	Blind Captain	distributed-partial-observability	The body that controls motion sees only instruments while a passive observer sees the terrain and can signal with limited pulses.
q069	Echo Windows	distributed-partial-observability	Actions in one pane produce delayed echoes in another pane, and the panes expose complementary parts of the same hidden machine.
q070	Triangulation	distributed-partial-observability	Three sensors each report only relative closeness through geometry; combining their views locates a moving hidden target.
q071	Season Shift	nonstationary-rule-revision	A visible environmental phase changes which terrain grows or decays, and the player must revise a learned policy at predictable change points.
q072	Honest Liar	nonstationary-rule-revision	A guide alternates between copying and opposing the correct direction according to a detectable internal state rather than random deception.
q073	Phase Change	nonstationary-rule-revision	The same material switches between solid-like and fluid-like interaction after accumulated energy crosses a visible threshold.
q074	Drift Law	nonstationary-rule-revision	A movement transformation slowly rotates after each success, and sparse calibration actions reveal when the old mapping has expired.
q075	Betrayal Gate	nonstationary-rule-revision	A gate follows one learned activation rule until a visible wear cue appears, after which the complementary rule applies.
q076	Rule Thermostat	nonstationary-rule-revision	Heating and cooling the board changes which causal regime is active, making the player deliberately manage the rule set itself.
q077	Aging Tools	nonstationary-rule-revision	Tools change affordance after a known number of uses, so plans must anticipate functional aging instead of treating tools as permanent.
q078	Rotating Contract	nonstationary-rule-revision	Autonomous agents cycle through a small set of response policies, with each transition signaled by their arrangement.
q079	Exception Signal	nonstationary-rule-revision	A general rule holds until a rare but legible marker announces a local exception, testing calibrated revision rather than wholesale abandonment.
q080	Regime Cart	nonstationary-rule-revision	Moving a control cart changes the physical law inside its radius, allowing the player to transport and compose rule regimes.
q081	Shell Identity	persistent-identity	Several bodies exchange positions and appearances, but only persistent hidden identity determines which sockets they can activate.
q082	Borrowed Color	persistent-identity	Pieces temporarily acquire the color of containers while retaining their original interaction role, separating appearance from identity.
q083	Unmarked Lineage	persistent-identity	Objects split and merge, and later gates respond to ancestry rather than current shape or location.
q084	Control Transfer	persistent-identity	Control jumps among bodies after contact while goals remain attached to bodies, requiring tracking controller and objective separately.
q085	Identity Trail	persistent-identity	Footprints preserve which entity traversed a route even after entities become visually identical, enabling later assignment.
q086	Doppel Memory	persistent-identity	A duplicate copies appearance and position history but not learned permissions, and behavior reveals which is original.
q087	Body Exchange	persistent-identity	Two agents swap physical capabilities while their individual destinations remain fixed, composing role reasoning with identity tracking.
q088	Mask Debt	persistent-identity	Masks grant temporary affordances but accumulate obligations on the wearer, so passing a mask does not pass its debt.
q089	Persistent Passenger	persistent-identity	A hidden passenger transfers between vehicles, and only the passenger can satisfy the final gate despite changing visible carriers.
q090	Lineage Garden	persistent-identity	Growing pieces inherit one of two latent traits through branching, and pruning must preserve the lineage needed at the end.
q091	Workshop Orders	hierarchical-goal-discovery	A final assembly implicitly requires several reusable subassemblies whose dependency order must be inferred from blocked interfaces.
q092	Nesting Rooms	hierarchical-goal-discovery	Solving a room changes the boundary of a larger room containing it, revealing a hierarchy of local and global objectives.
q093	Milestone Garden	hierarchical-goal-discovery	Intermediate stable patterns unlock new growth operations, and the player must discover milestones rather than optimize immediate coverage.
q094	Delivery Tree	hierarchical-goal-discovery	Resources must flow through a branching dependency network where downstream requests reveal upstream subgoals.
q095	Closure Graph	hierarchical-goal-discovery	Completing small cycles closes larger cycles, and the terminal objective is visible only through nested closure.
q096	Subgoal Cache	hierarchical-goal-discovery	Temporary caches allow partial completion of repeated subtasks, rewarding discovery of reusable subgoal boundaries.
q097	Factory Plan	hierarchical-goal-discovery	Machines accept outputs of other machines without semantic labels, requiring inference of a production hierarchy and scheduling within it.
q098	Rescue Order	hierarchical-goal-discovery	Each rescued agent enables a distinct future action, so the apparent set of equal goals hides a dependency order.
q099	Waypoint Memory	hierarchical-goal-discovery	Local navigation goals must be selected to create a reusable global route rather than merely approach the final target.
q100	Recursive Gate	hierarchical-goal-discovery	Opening a gate reveals a smaller instance of the same dependency pattern whose solution parameter controls the outer instance.
q101	Carousel Coordinates	multi-scale-reference-frames	Pieces move in local coordinates on rotating rings while the target is fixed in global coordinates.
q102	Walking Room	multi-scale-reference-frames	The room itself moves across a larger board, and the player navigates simultaneously within the room and through the world.
q103	Nested Compass	multi-scale-reference-frames	Directional controls pass through two independently rotating frames, each visually grounded by moving landmarks.
q104	Conveyor Frame	multi-scale-reference-frames	Objects move relative to belts that themselves move relative to the board, requiring composition of velocities in discrete time.
q105	Orbiting Board	multi-scale-reference-frames	Small boards orbit a common center and exchange pieces only when local edge cells align globally.
q106	Local Gravity Wells	multi-scale-reference-frames	Each region has a visibly oriented local gravity, and crossing a boundary changes the frame in which falling is predicted.
q107	Folding Map	multi-scale-reference-frames	A map folds along visible hinges so distant local edges become globally adjacent without portal semantics.
q108	Camera Relative	multi-scale-reference-frames	Controls are relative to a movable camera while object dynamics remain world-relative, separating perception and action frames.
q109	Body-Centric Maze	multi-scale-reference-frames	The maze rotates around the agent after each step, so stable landmarks must be tracked in a body-centered frame.
q110	Moving Portal Frame	multi-scale-reference-frames	Portal exits are fixed relative to moving carriers rather than the global board, composing transport topology with reference frames.
q111	Silent Tutor	policy-learning-from-demonstration	A tutor demonstrates a short policy without highlighting goals, then control transfers on a visually transformed instance.
q112	Negative Demonstration	policy-learning-from-demonstration	The player watches both a successful and failed attempt and must infer the discriminating rule rather than imitate surface motion.
q113	Alternating Teacher	policy-learning-from-demonstration	Two tutors demonstrate different context-dependent policies, and the player identifies which context selects which tutor.
q114	Noisy Example	policy-learning-from-demonstration	A demonstration contains one visible accidental action whose lack of causal effect must be separated from the intended policy.
q115	Partial Demonstration	policy-learning-from-demonstration	Only the beginning and end of a successful trajectory are shown, requiring reconstruction of the latent subgoal sequence.
q116	Counterexample Room	policy-learning-from-demonstration	A sequence of examples gradually rules out candidate rules, and efficient learning depends on using counterexamples rather than majority resemblance.
q117	Teach Back	policy-learning-from-demonstration	After learning from a tutor, the player must demonstrate the rule to a simpler agent whose mistakes expose whether the abstraction was correct.
q118	Distributed Lesson	policy-learning-from-demonstration	Different tutors each demonstrate one component of a policy that must be composed in a final room.
q119	Analog Lesson	policy-learning-from-demonstration	A policy demonstrated with flowing particles must transfer to a visually unrelated arrangement of moving blocks sharing the same causal graph.
q120	Hidden Policy Handoff	policy-learning-from-demonstration	Control transfers mid-demonstration and the player must continue the policy from the tutor's latent state rather than restart it.
q121	Habit Hunter	adaptive-adversary	A hunter predicts the player's most frequent recent direction under a small visible memory window, making deliberate habit-breaking useful.
q122	Feint	adaptive-adversary	An opponent commits toward the player's displayed intent before the player executes, rewarding a learnable two-stage feint.
q123	Last-Move Guard	adaptive-adversary	Guards update patrol routes to block the player's last successful path, so repeating success is punished predictably.
q124	Counter-Predator	adaptive-adversary	A predator chooses among a few tactics based on the player's recent distance policy, and each tactic has a discoverable counter.
q125	Escalation Ladder	adaptive-adversary	An adversary becomes more aggressive only after consecutive retreats, requiring controlled alternation rather than constant avoidance.
q126	Copycat Trap	adaptive-adversary	A rival imitates the player's previous action with a one-turn delay, and the player turns that adaptation into a remote actuator.
q127	Policy Mirror	adaptive-adversary	The opponent adopts the transformation rule that most recently defeated it, forcing transfer to a second strategy rather than brute persistence.
q128	Adaptive Patrol	adaptive-adversary	Patrol density shifts toward recently visited regions under a simple diffusion rule, making route diversity a planning resource.
q129	Decoy Learner	adaptive-adversary	An adversary learns which object the player approaches and protects it, so the player can teach it a false preference before committing.
q130	Rhythm Rival	adaptive-adversary	A rival selects one of three timing patterns from the player's recent cadence, and irregular but planned timing opens a safe window.
q131	Pulse Language	compositional-communication	Short and long spatial pulses acquire grounded meanings through partner reactions, then combine into multi-part route instructions.
q132	Shape-Free Code	compositional-communication	Relative positions rather than colors or icons encode commands, forcing discovery of a small geometric communication protocol.
q133	Spatial Grammar	compositional-communication	Signal order denotes destination while signal arrangement denotes action, and later commands require both dimensions.
q134	Relay Syntax	compositional-communication	Messages pass through agents that each transform signals by a learnable local rule, requiring composition across the relay.
q135	Parity Signals	compositional-communication	A receiver reacts to the parity and grouping of pulses rather than their count alone, producing a nonverbal error-detecting code.
q136	Lossy Channel	compositional-communication	A channel predictably drops one class of signal, so redundant spatial encoding must be learned rather than repeated blindly.
q137	Shared Convention	compositional-communication	Two partners begin with different signal mappings and converge only when the player establishes a consistent convention through feedback.
q138	Command Composition	compositional-communication	Primitive signals for object, direction, and timing can be concatenated into novel commands not demonstrated directly.
q139	Clock-Skew Messages	compositional-communication	Senders and receivers operate on different visible cycles, so a valid message must encode both content and delivery phase.
q140	Grounded Labels	compositional-communication	The player invents reusable marker placements for latent object classes, and autonomous workers later act according to those grounded markers.
q141	Branch Ledger	counterfactual-planning	A visible ledger preserves the consequences of explored branches while the world resets, enabling comparison of alternatives before one irreversible commit.
q142	Ghost Alternatives	counterfactual-planning	Faint previews show where objects would move under each available action, but viewing a preview consumes a scarce resource.
q143	Costly Preview	counterfactual-planning	The player may simulate one turn without committing, and later levels make choosing which turn to preview more important than the action itself.
q144	One Reset	counterfactual-planning	A single reset is available across the whole level and preserves learned evidence but not progress, creating an explicit experiment-versus-execution split.
q145	Parallel Sandboxes	counterfactual-planning	Two tiny copies of the same system can test different interventions before the chosen policy is applied to a larger irreversible system.
q146	Fork Seal	counterfactual-planning	Opening any branch permanently seals its sibling, so the player must infer downstream compatibility before touching the fork.
q147	Affordance Sketch	counterfactual-planning	Movable outlines predict whether a proposed tool or object arrangement would fit, allowing structural planning without actual construction.
q148	Delayed Commit	counterfactual-planning	Actions can be queued and inspected as a path before a single commit executes them all, but only one queue may be tested.
q149	Model Tokens	counterfactual-planning	Abstract tokens stand for possible world models and are eliminated by observations; committing with multiple survivors risks the wrong transition.
q150	Minimum Regret	counterfactual-planning	Several uncertain routes have different worst-case losses, and the environment rewards preserving recoverability rather than shortest expected distance.
q151	Pipes to Roads	structural-analogy	A flow-routing lesson is followed by autonomous traffic on a visually unrelated map with the same directed graph structure.
q152	Shadows to Forces	structural-analogy	Occlusion patterns first teach a geometric relation that later reappears as invisible attraction between moving bodies.
q153	Braids to Signals	structural-analogy	Interleaving strands establishes a crossing algebra that transfers to temporal signal channels.
q154	Reservoir Crowd	structural-analogy	Population movement obeys the same conservation and capacity equations previously shown through fluid reservoirs.
q155	Mirror Roles	structural-analogy	A symmetry rule learned on shapes transfers to paired agents whose social roles mirror rather than their positions.
q156	Bridge Logic	structural-analogy	Physical bridge segments embody conjunction and disjunction, then the same structure governs activation without visible bridges.
q157	Same Graph New Bodies	structural-analogy	Several levels preserve an exact causal graph while replacing every object's appearance, motion, and spatial embedding.
q158	Causal Rhyme	structural-analogy	Two mechanisms share only the ordering of causes and effects, and a final level requires recognizing that abstract rhyme.
q159	Cross-Scale Transfer	structural-analogy	A rule learned among small objects inside one tile recurs among large regions across the whole board.
q160	Tool Metamorphosis	structural-analogy	A tool's functional relation survives when its parts become autonomous agents, testing transfer from mechanics to social coordination.
q161	Wager Gate	confidence-calibration	The player may claim a hypothesis at any time; correct claims unlock efficient control while incorrect claims remove scarce actions.
q162	Claim or Explore	confidence-calibration	Every turn offers either an information action or a progress action, making over-exploration and premature exploitation separately visible.
q163	Evidence Weight	confidence-calibration	Physical evidence pieces accumulate with different reliability and must be placed on one of several hypothesis platforms before commitment.
q164	Stop Test	confidence-calibration	A test sequence can continue indefinitely at a cost, but the environment rewards stopping once further observations cannot change the best action.
q165	Hypothesis Stack	confidence-calibration	Candidate rules are represented by movable objects that can be retained or discarded, and recovery depends on not collapsing uncertainty too early.
q166	Checkpoint Choice	confidence-calibration	The player chooses when to preserve state before a risky experiment; checkpoints are limited and reveal confidence through placement.
q167	Probe or Act	confidence-calibration	The same object can be safely probed or irreversibly used, with visual uncertainty shrinking as evidence accumulates.
q168	Calibration Orchard	confidence-calibration	Repeated noisy growth outcomes reveal stable likelihoods, and the player must allocate plants based on calibrated rather than absolute predictions.
q169	Uncertainty Routing	confidence-calibration	Cargo with uncertain destination can be held, routed to a reversible hub, or committed down a one-way branch.
q170	Commit Threshold	confidence-calibration	A visible evidence bar has no marked target; the player learns from feedback how much evidence different decisions require.
q171	Elastic Balance	continuous-quantity-reasoning	Stretching connected bands redistributes continuous-looking tension, and equilibrium rather than exact cell occupancy opens the gate.
q172	Fluid Blend	continuous-quantity-reasoning	Two fluids mix and divide through valves, with hue and area jointly conveying proportions without numeric notation.
q173	Density Drift	continuous-quantity-reasoning	Particle clouds move down a density gradient created by barriers, and the goal depends on shaping a distribution rather than individual paths.
q174	Resonant Steps	continuous-quantity-reasoning	Discrete pushes accumulate oscillation amplitude, and correctly phased pushes move a heavy body that no single action can shift.
q175	Pendulum Phase	continuous-quantity-reasoning	A turn-based pendulum exposes its phase through position and momentum, requiring timed transfers between moving platforms.
q176	Heat Diffusion	continuous-quantity-reasoning	Heat spreads locally after each turn and changes material affordances at visual thresholds, rewarding prediction of a field over time.
q177	Pressure Web	continuous-quantity-reasoning	Pistons alter pressure across connected chambers, and balancing gradients moves membranes without rupturing them.
q178	Wave Junction	continuous-quantity-reasoning	Pulses reflect and interfere on a network, with phase alignment at receivers rather than simple reachability determining success.
q179	Field Alignment	continuous-quantity-reasoning	Rotating a few local vectors gradually aligns a global field whose integral direction controls object drift.
q180	Gradient Climb	continuous-quantity-reasoning	Only local changes in a smooth hidden field are visible, so the player performs efficient hill climbing while avoiding deceptive plateaus.
q181	Affordance Debt	long-horizon-credit-assignment	Every shortcut creates a delayed obstacle of the same shape elsewhere, linking local convenience to future geometry.
q182	Borrowed Floor	long-horizon-credit-assignment	Tiles used in one room disappear from a later room, so an early path must conserve the material needed downstream.
q183	Delayed Escort	long-horizon-credit-assignment	Helping an agent changes its policy several rooms later, with intermediate rewards that can conceal the eventual effect.
q184	Seeded Weather	long-horizon-credit-assignment	Early placements alter a slowly evolving field that determines hazards only after multiple apparently unrelated subgoals.
q185	Promise Tokens	long-horizon-credit-assignment	Accepting temporary help creates a future obligation tied to the helper's identity, not the borrowed object.
q186	Deferred Mirror	long-horizon-credit-assignment	An action is mirrored only after a visible countdown and in a different region, requiring plans that reserve future space.
q187	Echo Cost	long-horizon-credit-assignment	Repeated use of an action gradually changes its later effect, making early action diversity relevant far beyond the current room.
q188	Future Walls	long-horizon-credit-assignment	The route walked in an early open field becomes the wall pattern of a later maze.
q189	Inheritance	long-horizon-credit-assignment	Resources and structural damage pass to a later controlled agent, so finishing the current level greedily can make the successor fail.
q190	Lasting Shortcut	long-horizon-credit-assignment	Opening one global shortcut permanently changes travel directions in every subsequent level, forcing a benchmark-wide planning choice.
q191	Event Compression	temporal-abstraction	Long deterministic animations contain a few causally important events, and the player must identify and act on event boundaries rather than individual frames.
q192	Nested Clocks	temporal-abstraction	Fast local cycles and a slow global cycle interact, requiring chunking repeated motion into higher-level phases.
q193	Routine Builder	temporal-abstraction	A repeated action sequence can be packaged into one macro, but choosing the wrong abstraction hides a necessary branch.
q194	Interrupt Window	temporal-abstraction	Autonomous routines run until interrupted, and only state-defined windows permit a useful interruption.
q195	Tempo Transfer	temporal-abstraction	A rhythm learned from one mechanism controls a slower mechanism after a simple scale transformation.
q196	Event Order	temporal-abstraction	Several animations vary in duration but preserve causal event order, so timing by frames fails while timing by events transfers.
q197	Phase Landmark	temporal-abstraction	A single distinctive configuration anchors an otherwise repetitive cycle and enables long-horizon synchronization.
q198	Action Chunking	temporal-abstraction	Later levels reward recognizing a familiar multi-action routine embedded inside a new plan without blindly replaying its final action.
q199	Slow Consequence	temporal-abstraction	Effects unfold across multiple frame sequences while new decisions remain available, requiring separation of pending and completed causes.
q200	Clock of Clocks	temporal-abstraction	Several learned temporal abstractions compose into a final system where local events trigger transitions of a higher-level state machine.
